year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,3,第１節第２日,2026/02/08,2026-02-08T14:03:00+09:00,琉球,"2-2
(PK4-3)",鳥栖,沖縄県陸,4701,ＤＡＺＮ,277,33,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,2,第１節第２日,2026/02/08,2026-02-08T00:00:00+09:00,大分,中止,滋賀,クラド,,ＤＡＺＮ,31,495,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,1,第２節第１日,2026/02/13,2026-02-13T19:00:00+09:00,神戸,vs,長崎,ノエスタ,,ＤＡＺＮ,18,47,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,町田,vs,水戸,Ｇスタ,,ＤＡＺＮ,45,94,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第２節第１日,2026/02/14,2026-02-14T15:00:00+09:00,鹿島,vs,横浜FM,メルスタ,,ＤＡＺＮ,1,5,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第２節第１日,2026/02/14,2026-02-14T15:00:00+09:00,FC東京,vs,浦和,味スタ,,ＤＡＺＮ,22,3,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第２節第２日,2026/02/14,2026-02-14T14:00:00+09:00,清水,vs,京都,アイスタ,,ＤＡＺＮ／テレビ静岡,7,24,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第２節第２日,2026/02/14,2026-02-14T14:00:00+09:00,広島,vs,岡山,Ｅピース,,ＤＡＺＮ／広島ホームテレビ,10,42,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,群馬,vs,八戸,正田スタ,,ＤＡＺＮ,35,362,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,横浜FC,vs,仙台,ニッパツ,,ＤＡＺＮ,34,54,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,湘南,vs,相模原,レモンＳ,,ＤＡＺＮ,12,273,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,大宮,vs,札幌,ＮＡＣＫ,,ＤＡＺＮ,27,14,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,甲府,vs,長野,ＪＩＴス,,ＤＡＺＮ,28,274,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,藤枝,vs,松本,藤枝サ,,ＤＡＺＮ,276,46,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第２節第１日,2026/02/14,2026-02-14T14:00:00+09:00,奈良,vs,今治,ロートＦ,,ＤＡＺＮ,391,369,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,1,第２節第２日,2026/02/15,2026-02-15T13:00:00+09:00,千葉,vs,川崎F,フクアリ,,ＤＡＺＮ,2,21,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,柏,vs,東京V,三協Ｆ柏,,ＤＡＺＮ,11,4,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第２節第３日,2026/02/15,2026-02-15T15:00:00+09:00,福岡,vs,C大阪,ベススタ,,ＤＡＺＮ,23,20,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第２節第３日,2026/02/15,2026-02-15T16:00:00+09:00,G大阪,vs,名古屋,パナスタ,,ＤＡＺＮ,9,8,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,栃木SC,vs,山形,カンセキ,,ＤＡＺＮ,40,29,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,栃木C,vs,秋田,ＣＦＳ,,ＤＡＺＮ,471,270,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第２節第２日,2026/02/15,2026-02-15T13:00:00+09:00,いわき,vs,福島,ハワスタ,,ＤＡＺＮ／福島中央テレビ,386,271,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,岐阜,vs,磐田,長良川,,ＤＡＺＮ,39,13,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,FC大阪,vs,高知,花園,,ＤＡＺＮ,390,468,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,讃岐,vs,富山,メグスタ,,ＤＡＺＮ,48,41,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,2,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,徳島,vs,新潟,鳴門大塚,,ＤＡＺＮ,36,78,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第２節第２日,2026/02/15,2026-02-15T14:00:00+09:00,愛媛,vs,金沢,ニンスタ,,ＤＡＺＮ,37,275,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第２節第１日,2026/02/15,2026-02-15T14:00:00+09:00,山口,vs,滋賀,みらスタ,,ＤＡＺＮ,330,495,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,2,第２節第１日,2026/02/15,2026-02-15T14:00:00+09:00,鳥栖,vs,熊本,駅スタ,,ＤＡＺＮ,33,38,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,2,第２節第１日,2026/02/15,2026-02-15T14:00:00+09:00,大分,vs,北九州,クラド,,ＤＡＺＮ,31,43,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第２節第１日,2026/02/15,2026-02-15T14:00:00+09:00,宮崎,vs,鳥取,いちご,,ＤＡＺＮ,371,44,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,3,第２節第１日,2026/02/15,2026-02-15T14:00:00+09:00,鹿児島,vs,琉球,白波スタ,,ＤＡＺＮ,338,277,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
