"2026","明治安田J1百年構想 WESTグループ","第２節第１日","2026/02/13","2026-02-13T19:00:00+09:00","神戸","vs","長崎","ノエスタ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 EASTグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","町田","vs","水戸","Ｇスタ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 EASTグループ","第２節第１日","2026/02/14","2026-02-14T15:00:00+09:00","鹿島","vs","横浜FM","メルスタ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 EASTグループ","第２節第１日","2026/02/14","2026-02-14T15:00:00+09:00","FC東京","vs","浦和","味スタ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 WESTグループ","第２節第２日","2026/02/14","2026-02-14T14:00:00+09:00","清水","vs","京都","アイスタ","","ＤＡＺＮ／テレビ静岡"
"2026","明治安田J1百年構想 WESTグループ","第２節第２日","2026/02/14","2026-02-14T14:00:00+09:00","広島","vs","岡山","Ｅピース","","ＤＡＺＮ／広島ホームテレビ"
"2026","明治安田J2・J3百年構想 EAST-Aグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","群馬","vs","八戸","正田スタ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Aグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","横浜FC","vs","仙台","ニッパツ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Aグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","湘南","vs","相模原","レモンＳ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Bグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","大宮","vs","札幌","ＮＡＣＫ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Bグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","甲府","vs","長野","ＪＩＴス","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Bグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","藤枝","vs","松本","藤枝サ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 WEST-Aグループ","第２節第１日","2026/02/14","2026-02-14T14:00:00+09:00","奈良","vs","今治","ロートＦ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 EASTグループ","第２節第２日","2026/02/15","2026-02-15T13:00:00+09:00","千葉","vs","川崎F","フクアリ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 EASTグループ","第２節第２日","2026/02/15","2026-02-15T14:00:00+09:00","柏","vs","東京V","三協Ｆ柏","","ＤＡＺＮ"
"2026","明治安田J1百年構想 WESTグループ","第２節第３日","2026/02/15","2026-02-15T15:00:00+09:00","福岡","vs","C大阪","ベススタ","","ＤＡＺＮ"
"2026","明治安田J1百年構想 WESTグループ","第２節第３日","2026/02/15","2026-02-15T16:00:00+09:00","G大阪","vs","名古屋","パナスタ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Aグループ","第２節第２日","2026/02/15","2026-02-15T14:00:00+09:00","栃木SC","vs","山形","カンセキ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Aグループ","第２節第２日","2026/02/15","2026-02-15T14:00:00+09:00","栃木C","vs","秋田","ＣＦＳ","","ＤＡＺＮ"
"2026","明治安田J2・J3百年構想 EAST-Bグループ","第２節第２日","2026/02/15","2026-02-15T13:00:00+09:00","いわき","vs","福島","ハワスタ","","ＤＡＺＮ／福島中央テレビ"
"2026","明治安田J2・J3百年構想 EAST-Bグループ","第２節第２日","2026/02/15","2026-02-15T14:00:00+09:00","岐阜","vs","磐田","長良川","","ＤＡＺＮ"
